Income	0,000-1,500%	1,501-2,000%	2,001-2,500%	2,501-3,000%	3,001-3,500%	3,501-4,000%	4,001-4,500%	4,501-5,000%	5,001-5,500%	5,501-6,000%	6,001-6,500%	6,501-100,000%
€ 106.000	22,0%	23,0%	24,0%	25,5%	26,5%	27,5%	28,5%	29,5%	30,0%	31,0%	32,0%	32,5%
€ 107.000	22,0%	23,0%	24,5%	25,5%	26,5%	27,5%	28,5%	29,5%	30,0%	31,0%	32,0%	32,5%
€ 108.000	22,0%	23,0%	24,5%	25,5%	26,5%	27,5%	28,5%	29,5%	30,5%	31,0%	32,0%	32,5%
€ 109.000	22,0%	23,0%	24,5%	25,5%	26,5%	27,5%	28,5%	29,5%	30,5%	31,0%	32,0%	32,5%
€ 110.000	22,0%	23,0%	24,5%	25,5%	26,5%	27,5%	28,5%	29,5%	30,5%	31,0%	32,0%	33,0%
€ 111.000	22,0%	23,0%	24,5%	25,5%	26,5%	27,5%	28,5%	29,5%	30,5%	31,0%	32,0%	33,0%
€ 112.000	22,0%	23,0%	24,5%	25,5%	26,5%	27,5%	28,5%	29,5%	30,5%	31,5%	32,0%	33,0%
€ 113.000	22,0%	23,5%	24,5%	25,5%	26,5%	27,5%	28,5%	29,5%	30,5%	31,5%	32,0%	33,0%
€ 114.000	22,0%	23,5%	24,5%	25,5%	26,5%	27,5%	28,5%	29,5%	30,5%	31,5%	32,0%	33,0%
€ 115.000	22,0%	23,5%	24,5%	25,5%	26,5%	27,5%	28,5%	29,5%	30,5%	31,5%	32,0%	33,0%
€ 116.000	22,0%	23,5%	24,5%	25,5%	26,5%	27,5%	29,0%	29,5%	30,5%	31,5%	32,0%	33,0%
€ 117.000	22,0%	23,5%	24,5%	25,5%	26,5%	27,5%	29,0%	29,5%	30,5%	31,5%	32,0%	33,0%
€ 118.000	22,0%	23,5%	24,5%	25,5%	26,5%	28,0%	29,0%	29,5%	30,5%	31,5%	32,0%	33,0%
€ 119.000	22,0%	23,5%	24,5%	25,5%	27,0%	28,0%	29,0%	30,0%	30,5%	31,5%	32,0%	33,0%
€ 120.000	22,0%	23,5%	24,5%	25,5%	27,0%	28,0%	29,0%	30,0%	30,5%	31,5%	32,5%	33,0%
€ 121.000	22,5%	23,5%	24,5%	26,0%	27,0%	28,0%	29,0%	30,0%	30,5%	31,5%	32,5%	33,0%
€ 122.000	22,5%	23,5%	24,5%	26,0%	27,0%	28,0%	29,0%	30,0%	31,0%	31,5%	32,5%	33,0%
€ 123.000	22,5%	23,5%	24,5%	26,0%	27,0%	28,0%	29,0%	30,0%	31,0%	31,5%	32,5%	33,0%
€ 124.000	22,5%	23,5%	24,5%	26,0%	27,0%	28,0%	29,0%	30,0%	31,0%	31,5%	32,5%	33,0%
€ 125.000	22,5%	23,5%	25,0%	26,0%	27,0%	28,0%	29,0%	30,0%	31,0%	31,5%	32,5%	33,0%
